,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
2009,48.6026917,34.5752296,Дніпропетровська,Кам'янський,Кам'янська, ,місто,Кам'янське,вул. Булiвельникiв 37-А,так,Відділення банків,2bb35954,Підзарядка гаджетів,ПН (бізнес) на карту
2010,50.45010448,30.5295232,Київська, ,Київська, ,місто,Київ,"провулок Музейний, 2 лiт ""Б"" гп №2",так,Відділення банків,d5ab7cb5,Підзарядка гаджетів,ПН (бізнес) на карту
2011,47.8180619,35.1569734,Запорізька, , , ,місто,Запоріжжя,вул. Запорізька 1-б,так,Магазин,534f4465,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2012,49.8636403,24.0532941,Львівська, , , ,місто,Львів,вул. Богдана Хмельницького 188а,так,Магазин,2aa86698,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2013,49.77667659,23.97805729,Львівська,Львівський, , ,село,Сокільники,вул. Зубрівська 27,так,Магазин,faaea0d0,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2014,49.82526726,23.91404528,Львівська, , , ,місто,Львів,вул. Городоцька 302,так,Магазин,8c8f3ab7,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2015,46.9076371,32.0393884,Миколаївська, , , ,місто,Миколаїв,проспект Богоявленський 191а,так,Магазин,e12ea8ba,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2016,48.4598682,22.710721,Закарпатська, , , ,місто,Мукачеве,вул. Лавківська буд 1Д,так,Магазин,f16976a3,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2017,46.95897589,32.04000211,Миколаївська, , , ,місто,Миколаїв,Херсонське шосе,так,Магазин,ebd7dfbf,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2018,50.74212478,24.16028294,Волинська, , , ,місто,Нововолинськ,вул. Луцька 8,так,Магазин,071e334d,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2019,46.44719347,30.64691454,Одеська,Овідіопольський, , ,селище міського типу,Авангард,7-ий км Овідіопольської дороги 1,так,Магазин,5c3997a5,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2020,46.6015926,30.80850575,Одеська,Лиманський,Красносільська с.р., ,село,Іллічанка,вул. Паустовського 14,так,Магазин,6ea91a02,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2021,46.38775864,30.70807644,Одеська,Овідіопольський, , ,село,Лиманка,проспект Жукова маршала (Дружний) б 99,так,Магазин,bf0d09ac,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2022,50.58653118,32.38125857,Чернігівська, , , ,місто,Прилуки,вул. Коптєва Юрія 59,так,Магазин,988dbde6,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2023,48.01606087,30.85846419,Миколаївська, , , ,місто,Первомайськ,вул. Достоєвського Ф2-Б/2,так,Магазин,a3c7c17c,Підзарядка гаджетів,ПН (бізнес магазини) на карту
2024,50.1622401,27.0408833,Хмельницька, , , ,місто,Шепетівка,Старокостянтинівське шосе 38Б,так,Магазин,7b37ab98,Підзарядка гаджетів,ПН (бізнес магазини) на карту
